Title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
季节,春天,夏天,秋天,冬天,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
景物,日落,日出,湖泊,山川,夜晚,星星,海洋,天空,微风,光芒,植物,晴朗,下雨,水流,下雪,,,,,,,,,,,,,,,,,,,,,,,,,
动作,模仿,苛求,描写,等待,讨论,苏醒,勾结,忍让,追求,妥协,学习,帮助,轻视,发呆,迅速,背叛,反抗,唠叨,缓慢,吸引,,,,,,,,,,,,,,,,,,,,
感官,好听,美味,好看,芬芳,清新,清秀,年迈,强壮,瘦弱,肥胖,曲折,突然,声音大,寒冷,炎热,,,,,,,,,,,,,,,,,,,,,,,,,
色彩,绿色,红色,蓝色,多彩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
情绪,喜悦,悲伤,惊讶,狂热,担忧,忍让,慌张,愤怒,自豪,热情,紧张,害怕,着急,爱,高傲,沮丧,轻浮,害羞,关切,绝望,犹豫,可怜,感恩,纠结,不舍,果断,冷漠,,,,,,,,,,,,,
感受,美丽,有趣,无趣,有经验,舒适,温暖,欣赏,优美,悠闲,孤单,不舍,流畅,顺利,丰富,满意,真实,尴尬,安逸,无助,深刻,随意,活力,美好,神秘,朦胧,豪迈,孤独,典雅,敬佩,温馨,亲切,密切,文雅,残忍,无力,凶险,珍贵,稀少,亲密,疲惫
现象,偶然,超越,变化,灵活,突出,盲从,传承,激烈,繁荣,无知,浮夸,蒙蔽,虚伪,消失,罕见,安宁,动荡,影射,传统,友谊,,,,,,,,,,,,,,,,,,,,
场景描写,纷乱,繁华,壮观,生机,热闹,自然,寓言,幽深,寂静,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
品质,优秀,坚持,懒惰,挑剔,智慧,出色,礼貌,爱国,克制,勤奋,谦虚,专注,谨慎,自负,自信,浮躁,抱负,奋勇,忠心,真心,坦诚,纯洁,清廉,大度,远虑,无耻,残暴,贪心,好学,认真,粗心,孝敬,全面,团结,刻苦,顺从,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
